,person_id,id,role,title,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
163,30068,tm98978,ACTOR,The Blue Lagoon,1980,R,104,"[''romance'', ''drama'']",['US'],tt0080453,bad_score,50000-99999,44.038,6.2
164,80677,tm98978,ACTOR,The Blue Lagoon,1980,R,104,"[''romance'', ''drama'']",['US'],tt0080453,bad_score,50000-99999,44.038,6.2
165,66492,tm98978,ACTOR,The Blue Lagoon,1980,R,104,"[''romance'', ''drama'']",['US'],tt0080453,bad_score,50000-99999,44.038,6.2
166,80678,tm98978,ACTOR,The Blue Lagoon,1980,R,104,"[''romance'', ''drama'']",['US'],tt0080453,bad_score,50000-99999,44.038,6.2
167,80679,tm98978,ACTOR,The Blue Lagoon,1980,R,104,"[''romance'', ''drama'']",['US'],tt0080453,bad_score,50000-99999,44.038,6.2
168,80680,tm98978,ACTOR,The Blue Lagoon,1980,R,104,"[''romance'', ''drama'']",['US'],tt0080453,bad_score,50000-99999,44.038,6.2
169,80681,tm98978,ACTOR,The Blue Lagoon,1980,R,104,"[''romance'', ''drama'']",['US'],tt0080453,bad_score,50000-99999,44.038,6.2
170,80682,tm98978,ACTOR,The Blue Lagoon,1980,R,104,"[''romance'', ''drama'']",['US'],tt0080453,bad_score,50000-99999,44.038,6.2
171,80683,tm98978,ACTOR,The Blue Lagoon,1980,R,104,"[''romance'', ''drama'']",['US'],tt0080453,bad_score,50000-99999,44.038,6.2
172,80684,tm98978,ACTOR,The Blue Lagoon,1980,R,104,"[''romance'', ''drama'']",['US'],tt0080453,bad_score,50000-99999,44.038,6.2
173,28692,tm98978,DIRECTOR,The Blue Lagoon,1980,R,104,"[''romance'', ''drama'']",['US'],tt0080453,bad_score,50000-99999,44.038,6.2
174,20837,tm119281,ACTOR,Bonnie and Clyde,1967,R,110,"[''drama'', ''crime'', ''action'']",['US'],tt0061418,bad_score,100000-149999,15.309,7.5
175,17170,tm119281,ACTOR,Bonnie and Clyde,1967,R,110,"[''drama'', ''crime'', ''action'']",['US'],tt0061418,bad_score,100000-149999,15.309,7.5
176,16446,tm119281,ACTOR,Bonnie and Clyde,1967,R,110,"[''drama'', ''crime'', ''action'']",['US'],tt0061418,bad_score,100000-149999,15.309,7.5
177,15098,tm119281,ACTOR,Bonnie and Clyde,1967,R,110,"[''drama'', ''crime'', ''action'']",['US'],tt0061418,bad_score,100000-149999,15.309,7.5
178,22346,tm119281,ACTOR,Bonnie and Clyde,1967,R,110,"[''drama'', ''crime'', ''action'']",['US'],tt0061418,bad_score,100000-149999,15.309,7.5
179,18249,tm119281,ACTOR,Bonnie and Clyde,1967,R,110,"[''drama'', ''crime'', ''action'']",['US'],tt0061418,bad_score,100000-149999,15.309,7.5
180,11347,tm119281,ACTOR,Bonnie and Clyde,1967,R,110,"[''drama'', ''crime'', ''action'']",['US'],tt0061418,bad_score,100000-149999,15.309,7.5
181,22347,tm119281,ACTOR,Bonnie and Clyde,1967,R,110,"[''drama'', ''crime'', ''action'']",['US'],tt0061418,bad_score,100000-149999,15.309,7.5
182,22345,tm119281,ACTOR,Bonnie and Clyde,1967,R,110,"[''drama'', ''crime'', ''action'']",['US'],tt0061418,bad_score,100000-149999,15.309,7.5
