index,person_id,id,name,role
418,530033,tm135083,Hind Rostom,ACTOR
419,173191,tm135083,Youssef Chahine,ACTOR
420,1321002,tm135083,Hassan el Baroudi,ACTOR
421,557165,tm135083,Abdel Aziz Khalil,ACTOR
422,557166,tm135083,Said Khalil,ACTOR
423,557167,tm135083,Abdel Ghani Nagdi,ACTOR
424,557168,tm135083,Loutfi El Hakim,ACTOR
425,557169,tm135083,Abdel Hamid Bodaoha,ACTOR
426,557170,tm135083,F. El Demerdache,ACTOR
427,557171,tm135083,Said El Araby,ACTOR
428,538017,tm135083,Ahmed Abaza,ACTOR
429,557172,tm135083,Hana Abdel Fattah,ACTOR
430,557173,tm135083,Safia Sarwat,ACTOR
431,557178,tm135083,Asaad Kellada,ACTOR
432,555008,tm135083,Naima Wasfy,ACTOR
433,1521416,tm135083,Sherine,ACTOR
434,1521414,tm135083,Soheir,ACTOR
435,1321149,tm135083,Esmat Mahmoud,ACTOR
436,1521441,tm135083,Nawal Morsi,ACTOR
437,1521413,tm135083,Gharib Moawad,ACTOR
438,1521412,tm135083,Mohamed Mazhar,ACTOR
439,1521534,tm135083,Galal Issa,ACTOR
440,1521409,tm135083,Mahrous El Garhi,ACTOR
441,1521506,tm135083,Ahmed El Tantawi,ACTOR
442,1521407,tm135083,S. Abdel Aziz,ACTOR
443,225932,tm135083,Nadia Lotfi,ACTOR
444,2342528,tm135083,Safia Tharwat,ACTOR
445,173191,tm135083,Youssef Chahine,DIRECTOR
446,1256646,tm14491,Jack Doroshow,ACTOR
447,1161204,tm14491,Bernard Giquel,ACTOR
448,543719,tm14491,Mario Montez,ACTOR
449,540350,tm14491,Crystal LaBeija,ACTOR
450,1161195,tm14491,Rachel Harlow,ACTOR
451,20913,tm14491,Andy Warhol,ACTOR
452,223669,tm14491,Edie Sedgwick,ACTOR
453,535822,tm14491,Jim Dine,ACTOR
454,35238,tm14491,Bruce Jay Friedman,ACTOR
455,556507,tm14491,Larry Rivers,ACTOR
456,14037,tm14491,Terry Southern,ACTOR
457,539207,tm14491,Jerry Leiber,ACTOR
458,509010,tm14491,Jackie Curtis,ACTOR
459,406724,tm14491,Pepper LaBeija,ACTOR
460,480534,tm14491,Dorian Corey,ACTOR
461,1161200,tm14491,Jill Krementz,ACTOR
462,343532,tm14491,Mary Ellen Mark,ACTOR
463,16387,tm14491,George Plimpton,ACTOR
464,244219,tm14491,Frank Simon,DIRECTOR
465,218173,tm89386,Gert Westphal,ACTOR
466,2069,tm89386,Adolf Hitler,ACTOR
467,41187,tm89386,Joachim Fest,DIRECTOR
468,15595,tm156453,Jane Fonda,ACTOR
469,1765,tm156453,Donald Sutherland,ACTOR
470,529469,tm156453,Pamela Donegan,ACTOR
471,529467,tm156453,Len Chandler,ACTOR
472,37864,tm156453,Michael Alaimo,ACTOR
473,208243,tm156453,Holly Near,ACTOR
474,70582,tm156453,Paul Mooney,ACTOR
475,488851,tm156453,Rita Martinson,ACTOR
476,32267,tm156453,Peter Boyle,ACTOR
477,473965,tm156453,Steve Jaffe,ACTOR
