,title,id,imdb_id,imdb_score,imdb_votes,person_id,name,role
772,Django Unchained,tm41792,tt1853728,8.4,1472668.0,2990,Ned Bellamy,ACTOR
714,Django Unchained,tm41792,tt1853728,8.4,1472668.0,3681,Christoph Waltz,ACTOR
713,Django Unchained,tm41792,tt1853728,8.4,1472668.0,8976,Jamie Foxx,ACTOR
722,Django Unchained,tm41792,tt1853728,8.4,1472668.0,2258,Dana Gourrier,ACTOR
723,Django Unchained,tm41792,tt1853728,8.4,1472668.0,48750,Nichole Galicia,ACTOR
719,Django Unchained,tm41792,tt1853728,8.4,1472668.0,63698,Dennis Christopher,ACTOR
726,Django Unchained,tm41792,tt1853728,8.4,1472668.0,77533,Sammi Rotibi,ACTOR
814,Django Unchained,tm41792,tt1853728,8.4,1472668.0,77577,Sandra Linz,ACTOR
813,Django Unchained,tm41792,tt1853728,8.4,1472668.0,77575,Justin Hall,ACTOR
810,Django Unchained,tm41792,tt1853728,8.4,1472668.0,77572,Jordon Michael Corbin,ACTOR
728,Django Unchained,tm41792,tt1853728,8.4,1472668.0,77534,Escalante Lundy,ACTOR
730,Django Unchained,tm41792,tt1853728,8.4,1472668.0,33639,Don Johnson,ACTOR
731,Django Unchained,tm41792,tt1853728,8.4,1472668.0,8686,Franco Nero,ACTOR
732,Django Unchained,tm41792,tt1853728,8.4,1472668.0,5750,James Russo,ACTOR
733,Django Unchained,tm41792,tt1853728,8.4,1472668.0,77536,Tom Wopat,ACTOR
734,Django Unchained,tm41792,tt1853728,8.4,1472668.0,38141,Don Stroud,ACTOR
735,Django Unchained,tm41792,tt1853728,8.4,1472668.0,19977,Amber Tamblyn,ACTOR
736,Django Unchained,tm41792,tt1853728,8.4,1472668.0,2255,Bruce Dern,ACTOR
737,Django Unchained,tm41792,tt1853728,8.4,1472668.0,17867,M.C. Gainey,ACTOR
738,Django Unchained,tm41792,tt1853728,8.4,1472668.0,35731,Cooper Huckabee,ACTOR
739,Django Unchained,tm41792,tt1853728,8.4,1472668.0,18263,Doc Duhame,ACTOR
725,Django Unchained,tm41792,tt1853728,8.4,1472668.0,22771,Ato Essandoh,ACTOR
773,Django Unchained,tm41792,tt1853728,8.4,1472668.0,77547,Dave Coennen,ACTOR
802,Django Unchained,tm41792,tt1853728,8.4,1472668.0,77564,Ross P. Cook,ACTOR
775,Django Unchained,tm41792,tt1853728,8.4,1472668.0,3322,Jon Eyez,ACTOR
807,Django Unchained,tm41792,tt1853728,8.4,1472668.0,77570,Glen Warner,ACTOR
808,Django Unchained,tm41792,tt1853728,8.4,1472668.0,9849,Kesha Bullard,ACTOR
809,Django Unchained,tm41792,tt1853728,8.4,1472668.0,77571,Edward J. Clare,ACTOR
811,Django Unchained,tm41792,tt1853728,8.4,1472668.0,77573,Mike DeMille,ACTOR
806,Django Unchained,tm41792,tt1853728,8.4,1472668.0,77569,Richie J. Ladner,ACTOR
821,Django Unchained,tm41792,tt1853728,8.4,1472668.0,77584,Mark Ulano,ACTOR
815,Django Unchained,tm41792,tt1853728,8.4,1472668.0,77578,Kasey James,ACTOR
816,Django Unchained,tm41792,tt1853728,8.4,1472668.0,77579,Skipper Landry,ACTOR
817,Django Unchained,tm41792,tt1853728,8.4,1472668.0,109132,Elton LeBlanc,ACTOR
818,Django Unchained,tm41792,tt1853728,8.4,1472668.0,77581,Cindy Mah,ACTOR
774,Django Unchained,tm41792,tt1853728,8.4,1472668.0,77548,Danièle Watts,ACTOR
812,Django Unchained,tm41792,tt1853728,8.4,1472668.0,9537,Gary Grubbs,ACTOR
819,Django Unchained,tm41792,tt1853728,8.4,1472668.0,77582,Johnny Otto,ACTOR
822,Django Unchained,tm41792,tt1853728,8.4,1472668.0,35043,Misty Upham,ACTOR
